"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c3rdgld7wxzo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/539d/live/365070e0-70f3-11ef-b02d-c5f3b724a1ea.jpg.webp","Nurses and teachers get above inflation pay rise","The Welsh government announces above inflation pay rises for public sector workers.","Wales"
"https://www.bbc.com/news/articles/cgjv3gdxv7go","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/7d11/live/ba3a2200-7019-11ef-8c1a-df523ba43a9a.jpg.webp","Eating pets, inflation, abortion - key debate claims fact-checked","BBC Verify has been examining Trump and Harris's claims in their first head-to-head debate in the US election campaign.","US & Canada"
"https://www.bbc.com/news/articles/cy9e72vn1xyo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/6e64/live/6fcd6730-7033-11ef-b115-250e77c4b650.jpg.webp","US inflation falls to lowest in over three years","Consumer prices in the US rose 2.5% over the 12 months to August, the slowest pace since February 2021.","Business"
"https://www.bbc.com/news/articles/cpvywgjxy2eo","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/3b73/live/35ad5770-6ea0-11ef-aae5-a7098ec0dd1c.jpg.webp","Respiratory infection vaccine to be rolled out","The vaccine will be offered to pregnant women and those aged between 75 and 79 from this month.","Isle of Man"
"https://www.bbc.com/news/articles/c8jl4vy9xddo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/e21b/live/9ecd7bd0-7086-11ef-b02d-c5f3b724a1ea.png.webp","Parents' transplant plea: 'One more infection and we could lose our boy'","Two-year-old Zachary Bradford could die in weeks if a donor cannot be found.","Glasgow & West Scotland"
"https://www.bbc.com/news/articles/cwy3wy522dyo","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d88a/live/106130f0-5a3b-11ef-a88c-9f995a4e445d.jpg.webp","Slowest US inflation since 2021 raises rate cut hope","The inflation report was being closely watched after stock market turmoil earlier this month.","Business"
"https://www.bbc.com/news/articles/cwy597we887o","8 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0607/live/21358f90-558e-11ef-8a65-4785a75dcfc2.jpg.webp","'Rampant' inflation hurting hospitality - bosses","Years of price rises have damaged Guernsey's hospitality sector, bosses say.","Guernsey"
"https://www.bbc.com/news/articles/ceq59pqr9qxo","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2b9e/live/74c66b10-5a0d-11ef-9599-994cc2b5f394.jpg.webp","Inflation rate rises for first time this year to 2.2%","The UK inflation rate has risen to 2.2%, but this was not as high as economists had forecast.",""
"https://www.bbc.com/news/articles/c77lrgrny51o","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/cb90/live/ae56e450-5a48-11ef-997c-711b7066309d.png.webp","Old hospitals added to Covid infection spread risk","Lessons to learn after NHS Wales examines 18,300 cases of Covid caught by patients in hospitals.","Wales"
"https://www.bbc.com/news/articles/c8xl5vnlzpwo","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c911/live/561b3350-692e-11ef-8c32-f3c2bc7494c6.jpg.webp","Is US economy better or worse now than under Trump?","BBC Verify looks at jobs, inflation, stocks and other indicators to compare the Trump and Biden economies.","US & Canada"
"https://www.bbc.com/news/articles/cewlqxv0n1qo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/854e/live/f6de5520-6a18-11ef-8aac-dd660c1eaaee.jpg.webp","State pension to rise by over £400 next year","This will take the full state pension for men who have retired since 1951 and women since 1953 to around £12,000 in 2025/26.","Business"
"https://www.bbc.com/news/articles/cy0r779ygddo","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/b2f5/live/898fd0c0-6c4d-11ef-944c-9fead083e8e4.jpg.webp","Mixed jobs report adds to US economy concerns","Employers added 142,000 jobs in August, figures show, which was less than expected.","Business"
"https://www.bbc.com/news/articles/clyne60ln20o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/927c/live/35fc83f0-6ba2-11ef-811b-09c4913a8684.jpg.webp","Why this US jobs report matters and what to watch","The report is a key gauge of the US economy - a top issue in the presidential election.","US & Canada"
"https://www.bbc.com/news/articles/c9wjz7jzqd0o","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0c2a/live/750619f0-6f47-11ef-8602-63d7f82252c1.jpg.webp","State pension set to rise by £460 next year","The latest figure comes as the government faces a backlash over cutting winter fuel payments for most pensioners.","Business"
"https://www.bbc.com/news/articles/cz07n5v99xmo","27 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c89c/live/2361cf50-643d-11ef-9b63-fd68cdd291b6.jpg.webp","Shop prices fall for first time in nearly three years","Prices in August were down 0.3% from a year ago, the first fall since October 2021, a retail group says.","Business"
"https://www.bbc.com/news/articles/c9852q38ljdo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c62b/live/f6b56290-6ad7-11ef-b970-9f202720b57a.jpg.webp","Starmer defends cutting winter fuel payments","During PMQs, Sir Keir Starmer says he had to take ""tough decisions to stabilise the economy"".","Politics"
"https://www.bbc.com/news/articles/cwy78g4vg3po","30 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a623/live/3899abc0-66ba-11ef-8c32-f3c2bc7494c6.jpg.webp","Fact-checking Kamala Harris’s first campaign interview","BBC Verify looks into claims the vice-president made on CNN about fracking, child poverty and green jobs.","US & Canada"
"https://www.bbc.com/news/videos/c2l1r92e5rzo","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e1b1/live/ddd70e30-65fb-11ef-b970-9f202720b57a.jpg.webp","Argentina police pepper spray pension protesters","They were protesting the president's plan to veto measures to raise pensions in line with Argentina's triple-digit inflation.","Latin America"
"https://www.bbc.com/news/articles/cgq2el1el1qo","28 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9daf/live/c74213d0-6520-11ef-8387-154e98de51ba.jpg.webp","Ferry firm plans to charge drivers to access beach","Sandbanks Ferry proposes charges to use the road that gives access to beaches at Studland.","Dorset"
"https://www.bbc.com/news/videos/c2l1r92e5rzo","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e1b1/live/ddd70e30-65fb-11ef-b970-9f202720b57a.jpg.webp","Argentina police pepper spray pension protesters","They were protesting the president's plan to veto measures to raise pensions in line with Argentina's triple-digit inflation.","Latin America"
"https://www.bbc.com/news/videos/c05j30799d8o","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/368f/live/78bfed90-700b-11ef-b282-4535eb84fe4b.jpg.webp","Watch key moments from Harris-Trump clash","The pair had a feisty first meeting, sharing personal insults and criticisms over policy.","US & Canada"
"https://www.bbc.com/news/videos/cvg3gxxe4lxo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/2dad/live/866620d0-70bb-11ef-b02d-c5f3b724a1ea.jpg.webp","Clashes outside Argentine Congress after veto of pension rise","The protesters - many of them pensioners - tore down police barriers and hurled stones at police in Buenos Aires.","Latin America"
"https://www.bbc.com/news/articles/c4gdnl9pg1wo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/63e2/live/728166d0-7037-11ef-b02d-c5f3b724a1ea.jpg.webp","Who won the Harris-Trump presidential debate?","Trump couldn't resist Harris's personal digs at the debate which threw him off message, writes Anthony Zurcher.","US & Canada"
"https://www.bbc.com/news/articles/c8rx23jdkd5o","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c70b/live/1fc40bd0-6aa3-11ef-ad86-0f1e0a0abb3f.jpg.webp","Biggest UK housing firm to build fewer homes","The house building giant built 18% fewer homes last year as profits tumbled.","Business"
"https://www.bbc.com/news/articles/c0e8jlyqe7vo","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9e67/live/11233e40-6b9b-11ef-811b-09c4913a8684.jpg.webp","Trump pleads not guilty as interference case deadlines loom over election","Trump's federal election interference case in Washington is moving forward again after a lengthy delay at the US Supreme Court","US & Canada"
"https://www.bbc.com/news/articles/c4gqyjknwq8o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a730/live/641fe820-6acc-11ef-a329-01e5398e96e2.jpg.webp","More cash needed for 20,000 homes plan - watchdog","Auditors say significantly more money is needed to reach a pledge to build more social housing.","Wales"
