"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c2edydj019ro","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/3bbd/live/e2dc9ca0-6c5a-11ef-936b-6532a2e8c3ce.jpg.webp","Mortgages yet to drop despite interest rate fall","Most Guernsey banks have kept rates the same despite a drop in interest rates, unlike the UK.","UK"
"https://www.bbc.com/news/articles/cewln7544xwo","23 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1327/live/eca92bd0-615c-11ef-a99b-939c882127a2.jpg.webp","Time has come for interest rate cut, says Fed chair","The remarks signal a new fight for the US central bank, after two years battling inflation.","Business"
"https://www.bbc.com/news/articles/cne49gj44w7o","31 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3517/live/980af1c0-4f65-11ef-a396-1b4300a00f83.jpg.webp","US hints at September interest rate cut","The chair of the US central bank says a cut could be on the table as soon as the next meeting in September.","Business"
"https://www.bbc.com/news/articles/cze5el25kjno","2 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/d5f2/live/15e86500-710d-11ef-b939-778351a6cae2.jpg.webp","Dangers for FOMO mortgage hunters as rates fall","Competition between lenders is intense ahead of the next interest rates decision from the Bank of England.","Business"
"https://www.bbc.com/news/articles/cr4091rzy2wo","8 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/d854/live/42ef5fd0-6c1d-11ef-b5b9-d3641244e201.png.webp","UK house prices hit two-year high","The recent rate cut has boosted confidence among homebuyers, the UK's largest mortgage lender says.","Business"
"https://www.bbc.com/news/articles/cy0r779ygddo","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/b2f5/live/898fd0c0-6c4d-11ef-944c-9fead083e8e4.jpg.webp","Mixed jobs report adds to US economy concerns","Employers added 142,000 jobs in August, figures show, which was less than expected.","Business"
"https://www.bbc.com/news/articles/c9wjz7jzqd0o","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0c2a/live/750619f0-6f47-11ef-8602-63d7f82252c1.jpg.webp","State pension set to rise by £460 next year","The latest figure comes as the government faces a backlash over cutting winter fuel payments for most pensioners.","Business"
"https://www.bbc.com/news/articles/crlrw01g45ro","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/139a/live/57005b50-6a6f-11ef-8089-6fa3f23ee0d2.jpg.webp","Nvidia plunges almost 10% as global markets fall","The artificial intelligence chip giant saw $279bn wiped off its stock market value in New York.","Business"
"https://www.bbc.com/sport/rugby-union/articles/c93p34yrg67o","1 day ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/2464/live/b0877cb0-7101-11ef-a0f2-af1f687c154d.jpg.webp","Scarlets' £2.6m loan extension wins council backing","Scarlets are granted are a further 15-year extension by Carmarthenshire County Council to repay a £2.6m loan initially given by the local authority in 2007.","Scarlets"
"https://www.bbc.com/news/articles/clyg1j0lv1go","30 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/43ed/live/02c40c70-66d3-11ef-8c32-f3c2bc7494c6.jpg.webp","'Ants are everywhere': Labour MP's tenants reveal condition of flats","Jas Athwal rents properties with black mould and ant infestations, the BBC discovers.","Politics"
"https://www.bbc.com/news/articles/cz07n5v99xmo","27 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c89c/live/2361cf50-643d-11ef-9b63-fd68cdd291b6.jpg.webp","Shop prices fall for first time in nearly three years","Prices in August were down 0.3% from a year ago, the first fall since October 2021, a retail group says.","Business"
"https://www.bbc.com/sport/football/articles/cn02l8yy52jo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/c535/live/99de1060-6fac-11ef-b282-4535eb84fe4b.png.webp","Antony keen to stay at Man Utd - Wednesday's gossip","Antony is reluctant to leave Manchester United despite Fenerbahce interest, four Turkish clubs have ended their pursuit of Kieran Trippier, plus more.",""
"https://www.bbc.com/news/articles/clyne60ln20o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/927c/live/35fc83f0-6ba2-11ef-811b-09c4913a8684.jpg.webp","Why this US jobs report matters and what to watch","The report is a key gauge of the US economy - a top issue in the presidential election.","US & Canada"
"https://www.bbc.com/news/articles/cy9e72vn1xyo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/6e64/live/6fcd6730-7033-11ef-b115-250e77c4b650.jpg.webp","US inflation falls to lowest in over three years","Consumer prices in the US rose 2.5% over the 12 months to August, the slowest pace since February 2021.","Business"
