Date,Close/Last,Open,High,Low
09/12/2024,1837.05,1819.36,1844.01,1813.48
09/11/2024,1819.28,1838.27,1841.56,1796.83
09/10/2024,1838.27,1870.03,1872.23,1820.41
09/09/2024,1870.03,1865.26,1885.68,1865.26
09/06/2024,1865.26,1892.82,1907.36,1858.73
09/05/2024,1892.82,1916.61,1931.15,1890.61
09/04/2024,1916.61,1945.23,1961.23,1913.16
09/03/2024,1945.23,2009.40,2009.40,1941.92
08/30/2024,2009.40,2002.15,2011.22,1978.99
08/29/2024,2002.15,1983.16,2009.87,1974.97
08/28/2024,1983.16,1988.29,1993.91,1970.79
08/27/2024,1988.29,2010.40,2012.06,1985.60
08/26/2024,2010.40,1996.18,2032.85,1996.18
08/23/2024,1996.18,1964.07,1998.66,1964.07
08/22/2024,1964.07,1963.89,1975.97,1959.78
08/21/2024,1963.89,1958.07,1982.99,1957.00
08/20/2024,1958.07,2014.41,2014.41,1957.27
08/19/2024,2014.41,2011.45,2033.47,2011.45
08/16/2024,2011.45,2015.24,2016.70,1999.21
08/15/2024,2015.24,1993.29,2022.63,1993.29
08/14/2024,1993.29,1980.90,1999.76,1978.57
08/13/2024,1980.90,2004.30,2004.30,1971.95
08/12/2024,2004.30,1988.97,2015.45,1988.97
08/09/2024,1988.97,1980.46,1996.10,1965.96
08/08/2024,1980.46,1936.64,1985.49,1936.64
08/07/2024,1936.64,1928.13,1967.48,1928.13
08/06/2024,1928.13,1911.24,1946.36,1911.24
08/05/2024,1911.24,1946.12,1946.12,1873.32
08/02/2024,1946.12,2011.88,2011.88,1927.69
08/01/2024,2011.88,2074.75,2080.40,1999.48
07/31/2024,2074.75,2060.38,2099.46,2060.38
07/30/2024,2060.38,2026.77,2067.26,2026.77
07/29/2024,2026.77,2047.90,2052.95,2008.12
07/26/2024,2047.90,2042.72,2055.66,2029.34
07/25/2024,2042.72,2008.58,2054.34,1995.80
07/24/2024,2008.58,1997.27,2021.27,1991.84
07/23/2024,1997.27,2035.06,2035.06,1994.75
07/22/2024,2035.06,2047.34,2047.34,2023.11
07/19/2024,2047.34,2072.63,2077.06,2043.38
07/18/2024,2072.63,2075.64,2096.31,2069.68
07/17/2024,2075.64,2057.58,2097.74,2057.58
07/16/2024,2057.58,2061.19,2063.01,2036.89
07/15/2024,2061.19,2030.40,2075.47,2030.40
07/12/2024,2030.40,2027.73,2041.74,2016.36
07/11/2024,2027.73,2004.57,2033.62,1995.51
07/10/2024,2004.57,1994.51,2005.65,1988.05
07/09/2024,1994.51,2017.69,2017.95,1985.59
07/08/2024,2017.69,2034.05,2037.23,2010.47
07/05/2024,2034.05,2068.04,2068.04,2025.72
