Date,Price,Open,High,Low,Vol.,Change %
8/26/2024,"2,555.20","2,545.10","2,563.20","2,544.00",127.49K,0.35%
8/23/2024,"2,546.30","2,521.10","2,554.50","2,519.80",164.61K,1.18%
8/22/2024,"2,516.70","2,549.90","2,551.40","2,506.40",177.37K,-1.21%
8/21/2024,"2,547.50","2,552.20","2,558.00","2,528.20",148.89K,-0.12%
8/20/2024,"2,550.60","2,542.40","2,570.40","2,535.10",191.20K,0.37%
8/19/2024,"2,541.30","2,549.70","2,549.90","2,523.70",155.99K,0.14%
8/16/2024,"2,537.80","2,494.40","2,548.30","2,488.20",223.93K,1.82%
8/15/2024,"2,492.40","2,486.20","2,508.00","2,469.20",169.32K,0.51%
8/14/2024,"2,479.70","2,506.30","2,519.70","2,476.20",187.38K,-1.12%
8/13/2024,"2,507.80","2,512.60","2,517.30","2,498.20",155.08K,0.15%
8/12/2024,"2,504.00","2,470.10","2,513.40","2,462.70",171.20K,1.24%
8/9/2024,"2,473.40","2,467.30","2,476.50","2,456.10",152.17K,0.41%
8/8/2024,"2,463.30","2,422.80","2,467.90","2,420.20",178.51K,1.27%
8/7/2024,"2,432.40","2,432.60","2,447.30","2,418.80",166.08K,0.03%
8/6/2024,"2,431.60","2,451.70","2,459.50","2,421.80",186.11K,-0.52%
8/5/2024,"2,444.40","2,490.30","2,500.80","2,403.80",352.23K,-1.03%
8/2/2024,"2,469.80","2,490.80","2,522.50","2,453.10",309.94K,-0.44%
8/1/2024,"2,480.80","2,493.40","2,506.60","2,474.00",219.83K,0.32%
7/31/2024,"2,473.00","2,455.60","2,496.60","2,449.20",176.27K,0.86%
7/30/2024,"2,451.90","2,429.00","2,458.30","2,421.50",172.97K,2.09%
7/29/2024,"2,401.80","2,410.10","2,425.30","2,391.60",26.11K,-0.11%
7/26/2024,"2,404.50","2,386.50","2,413.30","2,378.00",14.23K,1.17%
7/25/2024,"2,376.60","2,420.50","2,423.80","2,375.10",28.16K,-2.58%
7/24/2024,"2,439.60","2,432.60","2,456.70","2,420.90",13.60K,0.35%
7/23/2024,"2,431.00","2,421.80","2,437.10","2,413.30",12.13K,0.52%
7/22/2024,"2,418.40","2,427.50","2,438.10","2,409.00",8.82K,-0.19%
7/19/2024,"2,423.00","2,470.40","2,471.60","2,419.60",14.44K,-2.33%
7/18/2024,"2,480.80","2,487.00","2,502.60","2,467.30",7.85K,-0.14%
7/17/2024,"2,484.30","2,497.20","2,512.80","2,480.20",12.31K,-0.31%
7/16/2024,"2,492.00","2,452.40","2,498.20","2,448.70",12.75K,1.59%
7/15/2024,"2,452.90","2,444.20","2,468.80","2,430.00",6.43K,0.34%
7/12/2024,"2,444.50","2,444.80","2,446.80","2,420.00",7.07K,-0.04%
7/11/2024,"2,445.60","2,401.20","2,453.80","2,400.90",9.84K,1.76%
7/10/2024,"2,403.20","2,393.90","2,416.70","2,393.30",5.84K,0.50%
7/9/2024,"2,391.20","2,390.30","2,400.80","2,380.00",7.64K,0.18%
7/8/2024,"2,387.00","2,419.00","2,422.10","2,382.00",10.24K,-1.41%
7/5/2024,"2,421.10","2,387.90","2,424.80","2,380.00",4.92K,2.39%
7/4/2024,"2,364.60","2,367.20","2,371.05","2,359.35",,-1.17%
7/3/2024,"2,392.60","2,362.00","2,397.50","2,360.00",6.49K,1.54%
7/2/2024,"2,356.40","2,364.00","2,368.80","2,350.80",5.80K,-0.23%
7/1/2024,"2,361.90","2,356.30","2,371.00","2,350.90",2.30K,-0.03%
6/28/2024,"2,362.50","2,359.70","2,373.10","2,352.60",2.98K,0.14%
6/27/2024,"2,359.30","2,331.80","2,364.30","2,330.00",3.55K,1.00%
6/26/2024,"2,335.90","2,355.80","2,357.70","2,327.50",3.77K,-0.75%
6/25/2024,"2,353.50","2,366.70","2,372.20","2,350.00",1.83K,-0.58%
6/24/2024,"2,367.20","2,354.50","2,370.10","2,353.10",1.06K,0.57%
6/21/2024,"2,353.90","2,394.60","2,403.50","2,352.00",2.20K,-1.58%
6/20/2024,"2,391.80","2,366.70","2,402.20","2,361.40",2.55K,2.08%
