"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cgeyg2g288wo","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/22bc/live/c73eb990-7bf7-11ef-ad1c-8daceb2ac32f.png.webp","Sudan army launches major attack on capital Khartoum","It appears to be the army's biggest offensive to regain control of the city for several months.","Africa"
"https://www.bbc.com/news/articles/c3e95lny0x9o","1 day ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/45d7/live/4b6e4e60-7f31-11ef-b266-c1a332524046.jpg.webp","Xi Jinping is worried about the economy - what do Chinese people think?","Two new pieces of research offer a rare glimpse into how Chinese people feel about their future.","Asia"
"https://www.bbc.com/news/articles/c39k9882nero","15 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8798/live/46a3e1a0-71d6-11ef-b908-d973c67fbe17.jpg.webp","How will the Irish government spend Apple’s €14bn?","Apple has been ordered to pay Ireland €14bn in unpaid taxes by Europe's top court.","Europe"
"https://www.bbc.com/news/articles/clyznjz3d78o","22 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/feab/live/dae72b60-78ed-11ef-b02d-c5f3b724a1ea.jpg.webp","Left-leaning leader wins Sri Lanka election in political paradigm shift","Anura Kumara Dissanayake beat his rivals after a historic second round of vote counting.","Asia"
"https://www.bbc.com/news/articles/cqxr03x4dvzo","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7210/live/ca37f1d0-7985-11ef-8c1a-df523ba43a9a.jpg.webp","Sri Lanka swears in new left-leaning president","Anura Kumara Dissanayake is sworn in as Sri Lanka's ninth executive president in a simple ceremony.","Asia"
"https://www.bbc.com/news/articles/ce3w2qkx1xlo","21 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9209/live/f3cfa520-7777-11ef-8c1a-df523ba43a9a.jpg.webp","Votes being counted in Sri Lanka's first election since protests ousted president","The cost of living is at the front of many voters' minds in what is expected to be a close race.","Asia"
"https://www.bbc.com/news/articles/c756ll1r5g2o","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e52a/live/af8d8060-75a3-11ef-b02d-c5f3b724a1ea.jpg.webp","Still reeling from crisis, Sri Lanka holds pivotal election","It’s Sri Lanka's first election since it saw mass protests that triggered its worst economic crisis.","Asia"
"https://www.bbc.com/news/articles/c206l7pz5v1o","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/12a9/live/d092f090-78b1-11ef-b02d-c5f3b724a1ea.jpg.webp","Who is Sri Lanka’s new president Anura Kumara Dissanayake?","The former Marxist is considered a disruptor to the old discredited political order.","Asia"
"https://www.bbc.com/news/articles/cr5n51ym19jo","17 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/285f/live/e6d446f0-744d-11ef-b02d-c5f3b724a1ea.jpg.webp","Chased out by protesters, a political dynasty plots its comeback","The Rajapaksas had a vice-like grip on Sri Lanka until they were chased from power. Could they return?","Asia"
"https://www.bbc.com/news/articles/c33v7enekg6o","22 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d595/live/b44ec700-78da-11ef-b282-4535eb84fe4b.jpg.webp","Labour warns of gloomy reality for economy","The Scottish Secretary tells the BBC his party inherted the ""worst economic and public service finances situation since the Second World War"".","Scotland Politics"
