"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cewlwkg82ggo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/384e/live/771f8750-70f8-11ef-b02d-c5f3b724a1ea.jpg.webp","National debt forecast to treble over next 50 years","An ageing population, climate change and geopolitical tensions all add pressure to the public finances, a report says.","Business"
"https://www.bbc.com/news/articles/c0lw07l7p70o","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/a4ca/live/8c52b690-7acd-11ef-a8be-850b207eb8c2.jpg.webp","UK economic growth 'robust' in 2024, think tank says","A think tank says it expects UK economic growth grow by 1.1%, the same rate as Canada and France.","Business"
"https://www.bbc.com/news/videos/c07n9rey929o","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/202e/live/fb71cac0-75af-11ef-b02d-c5f3b724a1ea.jpg.webp","Why is Turkey deepening its ties with Somalia?","The two signed a new naval deal this year after more than a decade of strategic partnership.","Africa"
"https://www.bbc.com/news/articles/cpw8wp0w29vo","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d84e/live/c5c38a80-719f-11ef-9981-95a6d4a32bf2.jpg.webp","Russia accuses six British diplomats of spying","Russia's security service said they were involved in inflicting a ""strategic defeat"" on the country.","Europe"
"https://www.bbc.com/news/articles/cvg415vex37o","30 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1229/live/a0f9ef60-66db-11ef-b43e-6916dcba5cbf.jpg.webp","Why Ethiopia is so alarmed by an Egypt-Somalia alliance","Tensions flare with the arrival of Egyptian planes in Mogadishu and the planned deployment of troops.","Africa"
"https://www.bbc.com/news/articles/cly9ypzq8qeo","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/fb77/live/6e882790-7194-11ef-b5fc-5368f4e1ab0b.jpg.webp","N Korea releases rare photos of Kim at uranium facility","Mr Kim called for the site to increase its production of nuclear warheads, state media said.","Asia"
"https://www.bbc.com/news/articles/cz07n5v99xmo","27 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c89c/live/2361cf50-643d-11ef-9b63-fd68cdd291b6.jpg.webp","Shop prices fall for first time in nearly three years","Prices in August were down 0.3% from a year ago, the first fall since October 2021, a retail group says.","Business"
"https://www.bbc.com/news/articles/c8rx1vr83ldo","30 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1292/live/91b102d0-6692-11ef-8e4a-d761e0335681.jpg.webp","France on charm offensive as New Caledonia simmers","A proposed voting reform had sparked deadly protests in the French overseas territory in May.","Europe"
"https://www.bbc.com/news/articles/c9qgy11w5dyo","23 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e0b5/live/a956c380-6123-11ef-b970-9f202720b57a.jpg.webp","Typical household energy bill up £149 a year in October","Energy regulator Ofgem announces price changes for 27 million households in England, Wales and Scotland.","Business"
"https://www.bbc.com/news/articles/cm2n35483gmo","13 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e66f/live/ef2eb260-5952-11ef-98d6-93f17f627cba.jpg.webp","Rising grocery prices fail to dampen wine sales","Grocery price inflation has risen for the first time since March last year, analysis by Kantar suggests.","Business"
"https://www.bbc.com/news/articles/cv2gygj1d28o","1 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a6af/live/656e0280-4f6e-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Why the world's anti-doping agency feels stuck between US and China","The world anti-doping agency says it is ""unfairly caught"" in US-China geopolitical tensions.","World"
