"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c0jwqzz94n4o","37 mins ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/97e1/live/047cdfb0-80a0-11ef-8e9f-b923c8510190.png.webp","Angling gold medal spurs international hopes","Charlie, who has been fishing since he was four, is among triumphant England side.","Bristol"
"https://www.bbc.com/sport/basketball/articles/c1wngg0v7pzo","18 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/b124/live/77610a70-801d-11ef-a487-69aed9975542.jpg.webp","A 'heart of gold' - Mutombo's humanitarian legacy","DR Congo-born Dikembe Mutombo has been hailed for his humanitarian work across Africa following his death aged 58 from brain cancer.","Africa Sport"
"https://www.bbc.com/news/articles/cly70eym1vwo","19 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f958/live/ab962810-765f-11ef-bd33-9be6f453cb44.jpg.webp","Freeman honour for Paralympic gold medallist","Gregg Stevenson is to be made a freeman of his village and have a school prize named after him.","Lancashire"
"https://www.bbc.com/news/articles/c78d6zvd6eno","19 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/89b8/live/623aa9a0-768e-11ef-a68c-41f8641ed281.jpg.webp","Paralympic gold medallist visits his old school","Fin Graham, from Strathpeffer, soaked up congratulations from pupils at Dingwall Academy.","Highlands & Islands"
"https://www.bbc.com/news/articles/c3dvpemvxneo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/259b/live/85cdfad0-7e35-11ef-bba4-63b85206e7d8.jpg.webp","Man charged after gold bullion and cocaine seizure","Gold bullion worth €1.4m, €460,000 in cash and €210,000 in suspected cocaine were seized.","Europe"
"https://www.bbc.com/news/articles/c74892k27e3o","16 mins ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/025f/live/8c6dfd80-80b1-11ef-bde8-51ef1316d04b.jpg.webp","Two women charged over €1.4m gold bullion seizure","The women were charged with counts of possession of proceeds of criminal conduct and money laundering.",""
"https://www.bbc.com/news/articles/ce8ddl1pk58o","22 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a772/live/2316f460-7538-11ef-b02d-c5f3b724a1ea.jpg.webp","'Chunky' gold brooch find a chivalric love token","The inscription on the medieval brooch suggests it was given to a woman by her champion.",""
"https://www.bbc.com/news/articles/c2061y9qpz9o","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0816/live/fd2d1320-7f22-11ef-a77f-e94d3eab2be3.png.webp","Jewellery from gold waste for Paris Fashion Week","Gold waste from the Royal Mint has been turned into luxury jewellery.",""
"https://www.bbc.com/news/articles/c3e9zkpd0nxo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/5ccd/live/0f3127b0-7f22-11ef-822c-a50726bfda2e.jpg.webp","Man in court over £1.2m gold bullion seizure","Farhats Bathijevs, 55, faces 10 charges after gold bars, cash and drugs were recovered in Dublin.","Europe"
"https://www.bbc.com/sport/cycling/articles/c93yqn56w7do","21 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3b2e/live/4ae1cec0-783f-11ef-b282-4535eb84fe4b.png.webp","GB's Pardoe and Reilly win European BMX gold","Great Britain's Sasha Pardoe and Kieran Reilly both win gold in the BMX European Freestyle Championships in Switzerland.","Cycling"
"https://www.bbc.com/news/articles/c3vkdy6xxdlo","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/ae65/live/9b65e820-7dbe-11ef-99a6-b5fca80b19f5.jpg.webp","Man arrested after €1.4m gold bullion and cocaine seizure","Irish police say a man has been arrested after gold bullion, cocaine and cash are seized in Dublin.","Europe"
"https://www.bbc.com/reel/video/p0jphx6z/varna-necropolis-world-s-oldest-gold-treasure","10 Sep 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jphzd0.jpg.webp","Varna Necropolis: World's oldest gold treasure","The Varna treasure is considered the world's oldest human processed gold, dating back 6,500 years.","Archaeology"
"https://www.bbc.com/news/articles/c8el4kgk98eo","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/ee53/live/686fb860-7ce2-11ef-bb53-3da3ce6977cd.jpg.webp","Zimbabwe knocks 40% off value of gold-backed currency","The central bank says the exchange rate allows for greater flexibility.","Africa"
"https://www.bbc.com/news/articles/cgl2rd3r5n9o","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8de4/live/7a880060-702c-11ef-b115-250e77c4b650.jpg.webp","Paralympic fans can go for gold at inclusive event","Highlights of the Inclusive Olympics in Grimsby will include a 500-mile group cycling challenge.",""
"https://www.bbc.com/news/articles/c20rv2n36lqo","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6def/live/e4c672d0-6eed-11ef-b066-533b2a7303d2.jpg.webp","Village turns out for Paralympics gold medallist","The Paralympian says she is proud of herself and her achievements at the Paralympic games.","Northamptonshire"
"https://www.bbc.com/sport/olympics/articles/cly6vld1krgo","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9a47/live/3e33a430-752b-11ef-b02d-c5f3b724a1ea.jpg.webp","'Different gravy' - the Londoner who won gold with Dupont","Aaron Grandidier Nkanang was born and raised in London, but his rugby life has taken a twisting route to Olympic rugby gold with France.","Olympic Games"
"https://www.bbc.com/news/articles/cpvyv4xleg8o","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/20a9/live/fe607150-70f0-11ef-b6d0-d948f4f34dfe.jpg.webp","Gold medallist fulfils 'dream' to visit old school","The Olympic gold medallist was described as not the most elite but the ""keenest"" by his teacher.","England"
"https://www.bbc.com/sport/athletics/videos/clyz8z6ne0go","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d669/live/65d203c0-7205-11ef-b282-4535eb84fe4b.jpg.webp","Asher-Smith finishes second behind Olympic gold medallist Alfred","Watch as Britain's Dina Asher Smith finishes in a close second behind Olympic champion Julien Alfred.","Athletics"
"https://www.bbc.com/sport/equestrian/articles/c0496423pwqo","8 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7425/live/4ab848d0-6dee-11ef-b970-9f202720b57a.jpg.webp","Olympic gold medallist Canter wins Burghley title","Olympic gold medallist Ros Canter wins the the first Burghley Horse Trials title of her career.",""
"https://www.bbc.com/sport/horse-racing/articles/ckgnrpmx6lxo","21 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7877/live/e9e4ebc0-7852-11ef-854c-97ec5736ae1e.jpg.webp","Lethal Levi leads Burke 1-2-3 in Ayr Gold Cup","Lethal Levi spearheads a one-two-three for trainer Karl Burke in the Ayr Gold Cup.","Horse Racing"
"https://www.bbc.com/sport/canoeing/articles/cvg52lyq54qo","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9819/live/95470ca0-6f6b-11ef-bb19-a14a36c9c495.jpg.webp","Sugar targeting third Paralympic gold in a row","Laura Sugar is already setting her sights on Los Angeles 2028 after winning the KL3 canoeing event in Paris.","Disability Sport"
"https://www.bbc.com/sport/football/articles/cql3lz1plv7o","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4ca7/live/8fa38e70-7139-11ef-8fe6-3f883dde47fa.jpg.webp","Hamilton and Gold confirmed as new Arbroath player-managers","Arbroath has confirmed the appointment of club stalwarts Colin Hamilton and David Gold as permanent co-player managers.","Arbroath"
"https://www.bbc.com/sport/swimming/articles/cq6rdnyng70o","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a1a8/live/6fbe1150-6c77-11ef-9078-253b6929b0dd.jpg.webp","Magnificent Maskill wins third gold in Paris","Great Britain's Poppy Maskill wins her third gold medal of the Paralympics in Paris with victory in the women's S14 100m backstroke.","Disability Sport"
"https://www.bbc.com/news/articles/cr4xeyddz7ko","23 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0ce8/live/d7be6700-7fe6-11ef-ad45-893aa022fcbc.jpg.webp","Drowned mum 'watched cold water swimming programme'","Gaynor Lord, 55, was found in a river a week after she disappeared, an inquest hears.","Norfolk"
"https://www.bbc.com/sport/articles/c7v54mrv053o","7 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c3e4/live/95d8a960-6d6a-11ef-9c4a-0bb2588bd1d3.jpg.webp","GB's Cockroft wins 800m for ninth Paralympic gold","Great Britain's Hannah Cockroft wins her ninth career Paralympic gold medal as she leads home a British one-two in the T34 800m final at Paris 2024.","Disability Sport"
"https://www.bbc.com/sport/articles/c5y8e28ed88o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a0c1/live/c0fb79d0-6bba-11ef-b970-9f202720b57a.png.webp","Tai and Redfern land Paralympic gold medals","Britain's Alice Tai wins her second title as Becky Redfern claims her first gold medal at the Paris Paralympics.","Disability Sport"
"https://www.bbc.com/news/articles/cp8lql3m8mjo","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6fc6/live/48e91470-776d-11ef-80ce-3de9bcab56d3.jpg.webp","School building work stopped as contractors fold","Hempland Primary School says it is working with the government to find a solution.","North Yorkshire"
"https://www.bbc.com/sport/tennis/articles/cwy3qkwkk4go","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2267/live/8648b4e0-6c75-11ef-9078-253b6929b0dd.jpg.webp","Paralympic gold 'stuff of dreams' for Hewett & Reid","Alfie Hewett wins his first Paralympics gold medal, partnering Gordon Reid to victory in the wheelchair tennis men's doubles in Paris.","Disability Sport"
"https://www.bbc.com/sport/articles/cjw3gp4qwwgo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8fbd/live/60a9bae0-6ad1-11ef-a329-01e5398e96e2.jpg.webp","Dunlevy wins Ireland's first gold at Paralympics","Cyclist Katie-George Dunlevy clinches Ireland’s first gold at the Paris Paralympics as she wins a third successive women's B time trial title.","Disability Sport"
"https://www.bbc.com/sport/videos/c5ydw5qwvn0o","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/5f4d/live/a2ecac50-6c39-11ef-8c32-f3c2bc7494c6.jpg.webp","Meet Mauritius' 'Wonder Woman' hoping for Paralympic gold","Meet Noemi Alphonse, the wheelchair racer looking to create history for Mauritius at the Paris 2024 Paralympic Games.","Disability Sport"
"https://www.bbc.com/sport/articles/c05jq287d12o","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f32a/live/894001e0-6c33-11ef-8c32-f3c2bc7494c6.jpg.webp","Sandilands wins Paralympic gold in world-record time","Britain's Ben Sandilands runs a brilliant last lap to win gold in the T20 1500m at the Paris Paralympics in a world-record time.","Disability Sport"
"https://www.bbc.com/sport/disability-sport/live/cj4xl175w5jt","","https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/91bd/live/d624dd90-6d56-11ef-b970-9f202720b57a.jpg.webp","Relive ParalympicsGB's five gold medals on day 10","ParalympicsGB win five gold medals on day 10, and 20 in all, on the penultimate day of competition in Paris.",""
"https://www.bbc.com/sport/archery/videos/crrl858wyqqo","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3b9f/live/01312010-69f7-11ef-b43e-6916dcba5cbf.jpg.webp","'Weirdest gold celebration' for pregnant Grinham","Pregnant para-archer Jodie Grinham describes the ""weirdest celebration"" after winning Paris Paralympics gold with Nathan Macqueen while being seven months pregnant.","Disability Sport"
"https://www.bbc.com/sport/swimming/articles/c3rdeje81r0o","7 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7b47/live/57663580-6d42-11ef-b970-9f202720b57a.jpg.webp","GB's Clegg dedicates second Paralympic gold to his mum","Stephen Clegg wins his second gold medal of the 2024 Paralympics in a tightly-contested men's S12 100m butterfly final.","Disability Sport"
"https://www.bbc.com/sport/articles/clylegjgjyno","7 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c0d9/live/837f5a40-6cfa-11ef-be64-837a6af74a1d.jpg.webp","Graham wins road race to take GB's 43rd gold","Finlay Graham wins the men's C1-3 road race in Paris to take Great Britain's 43rd gold of the Paralympics.","Disability Sport"
"https://www.bbc.com/sport/athletics/articles/c5y3zkrpdgko","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1ee4/live/fc0ab7a0-6af4-11ef-b9e2-891ea032200f.jpg.webp","Kinghorn's 'mind blown' by first Paralympic gold","Sammi Kinghorn wins her first Paralympic gold medal in sensational fashion, taking victory in the T53 100m.","Disability Sport"
"https://www.bbc.com/sport/articles/clylegjgjyno","7 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c0d9/live/837f5a40-6cfa-11ef-be64-837a6af74a1d.jpg.webp","Graham wins road race to take GB's 43rd gold","Finlay Graham wins the men's C1-3 road race in Paris to take Great Britain's 43rd gold of the Paralympics.","Disability Sport"
