"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c4g927qykywo","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6095/live/d75fbd00-74f5-11ef-80f8-1d84cdc6be4b.jpg.webp","Inflation holds steady despite jump in air fares","Lower fuel prices helped offset the higher cost of flying in the year to August.","Business"
"https://www.bbc.com/news/articles/c3rdgld7wxzo","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/539d/live/365070e0-70f3-11ef-b02d-c5f3b724a1ea.jpg.webp","Nurses and teachers get above inflation pay rise","The Welsh government announces above inflation pay rises for public sector workers.","Wales"
"https://www.bbc.com/news/articles/cgjv3gdxv7go","11 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7d11/live/ba3a2200-7019-11ef-8c1a-df523ba43a9a.jpg.webp","Eating pets, inflation, abortion - key debate claims fact-checked","BBC Verify has been examining Trump and Harris's claims in their first head-to-head debate in the US election campaign.","US & Canada"
"https://www.bbc.com/news/articles/cy9e72vn1xyo","11 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6e64/live/6fcd6730-7033-11ef-b115-250e77c4b650.jpg.webp","US inflation falls to lowest in over three years","Consumer prices in the US rose 2.5% over the 12 months to August, the slowest pace since February 2021.","Business"
"https://www.bbc.com/news/articles/cpvywgjxy2eo","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3b73/live/35ad5770-6ea0-11ef-aae5-a7098ec0dd1c.jpg.webp","Respiratory infection vaccine to be rolled out","The vaccine will be offered to pregnant women and those aged between 75 and 79 from this month.","Isle of Man"
"https://www.bbc.com/news/articles/c8jl4vy9xddo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e21b/live/9ecd7bd0-7086-11ef-b02d-c5f3b724a1ea.png.webp","Parents' transplant plea: 'One more infection and we could lose our boy'","Two-year-old Zachary Bradford could die in weeks if a donor cannot be found.","Glasgow & West Scotland"
"https://www.bbc.com/news/articles/cevy2dw47gyo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/ec57/live/5f5fa880-7e76-11ef-a4d3-09b59abdbf71.jpg.webp","Rates low for too long, says ex-Bank of England boss","Lord Mervyn King says inflation has now been tamed and interest rates are ""in the right ballpark"".","Business"
"https://www.bbc.com/news/articles/cew1n42vzp9o","18 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/874b/live/5dbf4b90-800e-11ef-a4d7-710a8cf1d892.jpg.webp","Welsh train staff consider strike action over pay","The TSSA union warns of disruption as hundreds of rail workers vote on whether to walk out over pay.","Wales"
"https://www.bbc.com/news/articles/cgq8ydy8e79o","19 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4b1b/live/7aa8c1f0-7686-11ef-9f01-190391b99f1c.png.webp","Interest rates held at 5% but 'on the path down'","Economists are betting on rates being held in September with a cut to come in November instead.","Business"
"https://www.bbc.com/news/articles/ceqn751x19no","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/70fe/live/f77a9e90-7cc3-11ef-92d0-ad3a07d3c8be.jpg.webp","Argentina records sharp rise in poverty","More than half of people in Argentina are now living in poverty, latest figures indicate.","Latin America"
"https://www.bbc.com/news/articles/ckg2d2kdgzeo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/e0e9/live/57553130-7eeb-11ef-864e-ab0f2b4bad21.jpg.webp","Minimum price of alcohol in Scotland rises by 30%","A typical 12.5% bottle of wine cannot be sold for less than £6.09 and a bottle of vodka will be £17.06.","Scotland"
"https://www.bbc.com/news/articles/c2dpewpe16go","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/e0d8/live/4db4be10-7b22-11ef-9617-cff57bf511c9.jpg.webp","Economy growth forecast upgraded to 1.1% for 2024","In January the consultancy firm EY forecast growth of just 0.7% but conditions have improved.","Northern Ireland"
"https://www.bbc.com/news/articles/czrmy711xjro","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/4c8b/live/10ad2440-7cfc-11ef-9a6b-17859ba822e9.jpg.webp","Longer jail terms don't deter crime, ex-judge says","Sir Brian Leveson criticises ""sentence inflation"", as the UK faces a prison overcrowding crisis.","Politics"
