"o-teaser__tag","o-teaser__tag href","js-teaser-heading-link","js-teaser-heading-link href","o-labels","o-normalise-visually-hidden","js-teaser-standfirst-link","js-teaser-standfirst-link href","o-teaser__timestamp-date","o-teaser__image-container href","o-teaser__image src"
"Global inflation","https://www.ft.com/stream/573cc1d3-b359-4548-a69a-4aa0b3818c1b","A self-congratulatory inflation narrative at Jackson Hole","https://www.ft.com/content/dc5fc30d-8ca8-47ee-958f-2ee59252ea80","Premium","content","‘Humility and a questioning spirit’, as called for by Fed chair, would be a very good idea","https://www.ft.com/content/dc5fc30d-8ca8-47ee-958f-2ee59252ea80","August 29, 2024","https://www.ft.com/content/dc5fc30d-8ca8-47ee-958f-2ee59252ea80","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F467750bf-cd3d-49a5-a2cf-b7c7fcac4105.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone inflation","https://www.ft.com/stream/17cd6e19-a695-47d2-80b0-3e94bc02d5e6","Eurozone inflation falls to 2.2% in August","https://www.ft.com/content/06f2fa8a-2ec7-40ac-8f5b-baf4c6786964","","","Markets expect further ECB rate cuts following dip in price pressures","https://www.ft.com/content/06f2fa8a-2ec7-40ac-8f5b-baf4c6786964","August 30, 2024","https://www.ft.com/content/06f2fa8a-2ec7-40ac-8f5b-baf4c6786964","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F36017823-33b3-4528-a4de-22d3ae6cf170.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone inflation","https://www.ft.com/stream/17cd6e19-a695-47d2-80b0-3e94bc02d5e6","Investors’ expectations for European inflation fall to lowest since 2022","https://www.ft.com/content/284d893b-d4fb-4628-a526-5feb2768c14e","","","Closely watched gauges of long-term Eurozone and UK price pressures sink as growth worries mount","https://www.ft.com/content/284d893b-d4fb-4628-a526-5feb2768c14e","August 23, 2024","https://www.ft.com/content/284d893b-d4fb-4628-a526-5feb2768c14e","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F263b2e93-f957-4f3b-a15d-6e60247c8a03.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK inflation","https://www.ft.com/stream/77b28b2b-7a5c-4103-a86f-9af8ba039296","UK mortgage holders and renters hit hardest by inflation","https://www.ft.com/content/5c383479-7c83-4db7-b75d-4f14c7f1c6a0","","","ONS data underscores uneven social impact of surge in living costs","https://www.ft.com/content/5c383479-7c83-4db7-b75d-4f14c7f1c6a0","August 28, 2024","https://www.ft.com/content/5c383479-7c83-4db7-b75d-4f14c7f1c6a0","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F18e8110e-b648-43d7-9dde-5f90fbcf5adc.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone inflation","https://www.ft.com/stream/17cd6e19-a695-47d2-80b0-3e94bc02d5e6","Falls in German and Spanish inflation boost chances of fresh ECB cuts","https://www.ft.com/content/fa7fecf2-58dc-461e-a7e2-fc157e112473","","","Easing of price pressures in two major Eurozone economies lifts hope for lower interest rates from next month","https://www.ft.com/content/fa7fecf2-58dc-461e-a7e2-fc157e112473","August 29, 2024","https://www.ft.com/content/fa7fecf2-58dc-461e-a7e2-fc157e112473","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F586b04b1-1cb4-4cd2-8e3a-2c9ea11355cc.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","Federal Reserve’s preferred inflation measure held steady at 2.5% in July","https://www.ft.com/content/d349bd2e-c3a9-4d9d-b803-e51af9053b1a","","","Data comes after chair Jay Powell said the ‘time has come’ to begin cutting rates","https://www.ft.com/content/d349bd2e-c3a9-4d9d-b803-e51af9053b1a","August 30, 2024","https://www.ft.com/content/d349bd2e-c3a9-4d9d-b803-e51af9053b1a","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F7c896b72-d6ec-4189-8f1a-c5a88e45210f.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","US inflation falls to 2.9% in July","https://www.ft.com/content/bd0f8f51-84bb-453d-a8c1-2473b2c8caa9","","","First drop below 3% since 2021 comes as Federal Reserve considers cutting interest rates in September","https://www.ft.com/content/bd0f8f51-84bb-453d-a8c1-2473b2c8caa9","August 14, 2024","https://www.ft.com/content/bd0f8f51-84bb-453d-a8c1-2473b2c8caa9","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F62043d43-98d1-40d3-b0e8-9606c7aef0b7.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","Will the Federal Reserve’s preferred inflation measure edge higher?","https://www.ft.com/content/c7deecf7-7c7d-409f-8c89-abfe1b9fa51a","","","Market Questions is the FT’s guide to the week ahead","https://www.ft.com/content/c7deecf7-7c7d-409f-8c89-abfe1b9fa51a","August 25, 2024","https://www.ft.com/content/c7deecf7-7c7d-409f-8c89-abfe1b9fa51a","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fdfff2119-b4d3-4bde-be49-71f7558d617d.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK inflation","https://www.ft.com/stream/77b28b2b-7a5c-4103-a86f-9af8ba039296","Is UK services inflation finally on the right path?","https://www.ft.com/content/87bbfb14-386c-4dfc-b0b0-69e89e70f2a2","","","Sharp fall in gauge of the pressures on domestic prices boosts the case for more interest rate cuts this year, economists say","https://www.ft.com/content/87bbfb14-386c-4dfc-b0b0-69e89e70f2a2","August 14, 2024","https://www.ft.com/content/87bbfb14-386c-4dfc-b0b0-69e89e70f2a2","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F716f32fd-3297-4002-97e7-4c72bb466d2c.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Global inflation","https://www.ft.com/stream/573cc1d3-b359-4548-a69a-4aa0b3818c1b","Lessons from the hard-fought battle against inflation","https://www.ft.com/content/578b0f71-a911-4555-a8f9-b7648ebed7bc","","","At Jackson Hole, rate-setters should reflect on how to manage the cutting cycle","https://www.ft.com/content/578b0f71-a911-4555-a8f9-b7648ebed7bc","August 21, 2024","https://www.ft.com/content/578b0f71-a911-4555-a8f9-b7648ebed7bc","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ff9f21e5d-1ee0-4d99-986e-c704c966c860.jpg?source=next&fit=scale-down&dpr=2&width=240"
