"o-teaser__tag","o-teaser__tag href","js-teaser-heading-link","js-teaser-heading-link href","js-teaser-standfirst-link","js-teaser-standfirst-link href","o-teaser__timestamp-date","o-teaser__image-container href","o-teaser__image src"
"US interest rates","https://www.ft.com/stream/9577c6d4-b09e-4552-b88f-e52745abe02b","Jay Powell says ‘time has come’ for US interest rate cuts","https://www.ft.com/content/9a91b649-a701-4cc0-a0c0-3ab0b7be214d","Federal Reserve chair gives strongest signal yet that borrowing costs will soon fall","https://www.ft.com/content/9a91b649-a701-4cc0-a0c0-3ab0b7be214d","August 23, 2024","https://www.ft.com/content/9a91b649-a701-4cc0-a0c0-3ab0b7be214d","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4ea311d0-2d1c-4716-866b-778f97b26856.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US interest rates","https://www.ft.com/stream/9577c6d4-b09e-4552-b88f-e52745abe02b","Most US Federal Reserve officials signalled readiness to cut interest rates in September","https://www.ft.com/content/d9cb9779-b6ec-45be-b363-1ba10e693385","July meeting minutes show ‘vast majority’ of policymakers thought move to lower borrowing costs was ‘appropriate’","https://www.ft.com/content/d9cb9779-b6ec-45be-b363-1ba10e693385","August 21, 2024","https://www.ft.com/content/d9cb9779-b6ec-45be-b363-1ba10e693385","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F01b79f17-9c67-4ce1-b4e7-cf595f1878a6.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK interest rates","https://www.ft.com/stream/d17153e9-f07d-49ad-8dbd-4cb23d6bbc9b","Investors beef up bets on BoE interest rate cut","https://www.ft.com/content/fa48f28a-b0de-4627-a76e-9fd9ad985f68","Reduction from 16-year high this week now given odds of over 60% by markets","https://www.ft.com/content/fa48f28a-b0de-4627-a76e-9fd9ad985f68","July 31, 2024","https://www.ft.com/content/fa48f28a-b0de-4627-a76e-9fd9ad985f68","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F7cc4757a-8002-42a1-b7d2-a1f54e9fe1a0.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone interest rates","https://www.ft.com/stream/ed7a795f-ec7b-42a2-a615-0ea551bb806b","ECB keeps interest rate at 3.75%","https://www.ft.com/content/c97ce66b-20f9-4289-8eda-4adba833ffa9","Christine Lagarde says September rate cut decision is ‘wide open’","https://www.ft.com/content/c97ce66b-20f9-4289-8eda-4adba833ffa9","July 18, 2024","https://www.ft.com/content/c97ce66b-20f9-4289-8eda-4adba833ffa9","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F851e7670-502f-447a-849e-1d52ce79ad8e.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK interest rates","https://www.ft.com/stream/d17153e9-f07d-49ad-8dbd-4cb23d6bbc9b","UK property market buoyed by interest rate cut","https://www.ft.com/content/18100d16-a004-4aa1-8e56-517d8208cfc1","Homebuying expected to pick up this autumn as confidence returns, say analysts","https://www.ft.com/content/18100d16-a004-4aa1-8e56-517d8208cfc1","August 1, 2024","https://www.ft.com/content/18100d16-a004-4aa1-8e56-517d8208cfc1","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F2264d9a6-2f06-4c26-a81c-4e0a44b4cd48.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US interest rates","https://www.ft.com/stream/9577c6d4-b09e-4552-b88f-e52745abe02b","Federal Reserve expected to keep interest rates steady but to tee up September cut","https://www.ft.com/content/5cda73be-e155-40ea-8b5c-c4dabd8b9c1e","US central bank set to acknowledge that easing inflation and softening jobs market justify policy pivot","https://www.ft.com/content/5cda73be-e155-40ea-8b5c-c4dabd8b9c1e","July 29, 2024","https://www.ft.com/content/5cda73be-e155-40ea-8b5c-c4dabd8b9c1e","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fd6255a4b-356e-4995-90bc-916fdf1922ec.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US interest rates","https://www.ft.com/stream/9577c6d4-b09e-4552-b88f-e52745abe02b","Why the Federal Reserve is waiting a bit longer to lower interest rates","https://www.ft.com/content/b63c352e-6ac7-492f-bf6b-646b3f95406d","An unexpected flare-up in US inflation last quarter is one reason officials want to see more data","https://www.ft.com/content/b63c352e-6ac7-492f-bf6b-646b3f95406d","July 22, 2024","https://www.ft.com/content/b63c352e-6ac7-492f-bf6b-646b3f95406d","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F03440007-bc25-4016-b6a5-fcdeb6617bfd.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US interest rates","https://www.ft.com/stream/9577c6d4-b09e-4552-b88f-e52745abe02b","Fed sends clearest signals yet that it will soon cut interest rates","https://www.ft.com/content/6b032dc4-f875-4a68-8bb8-a8356fc1aec3","US central bank pivots towards easing burden on borrowers amid clear signs the economy is cooling","https://www.ft.com/content/6b032dc4-f875-4a68-8bb8-a8356fc1aec3","July 13, 2024","https://www.ft.com/content/6b032dc4-f875-4a68-8bb8-a8356fc1aec3","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F206a7299-9db0-48fe-97df-b9413793b1f2.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Live blog from July 18 2024","https://www.ft.com/content/478d49ea-c3a8-453d-9e3e-51dd0da39493","ECB keeps interest rate at 3.75%","https://www.ft.com/content/478d49ea-c3a8-453d-9e3e-51dd0da39493#post-39dee90a-6d66-4eb2-a08e-9a5f454f636d","The European Central Bank has kept its main interest rate at 3.75 per cent, leaving the door open to a possible September cut despite concerns that ge...","https://www.ft.com/content/478d49ea-c3a8-453d-9e3e-51dd0da39493#post-39dee90a-6d66-4eb2-a08e-9a5f454f636d","","",""
"US interest rates","https://www.ft.com/stream/9577c6d4-b09e-4552-b88f-e52745abe02b","Nearly $90bn pours into US money market funds ahead of expected rate cuts","https://www.ft.com/content/6e8935e3-c1cf-4a53-9be5-fe7b3b55a394","Institutional investors look to lock in higher yields as market prepares for Fed to lower borrowing costs","https://www.ft.com/content/6e8935e3-c1cf-4a53-9be5-fe7b3b55a394","August 21, 2024","https://www.ft.com/content/6e8935e3-c1cf-4a53-9be5-fe7b3b55a394","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F960d0bb3-34c9-4c56-a81f-47607d654f39.jpg?source=next&fit=scale-down&dpr=2&width=240"
