date,usd_rate,oil_price,bond_yield_price,interest_rate,inflation_rate
2015-01-02,91.08,52.69,2.114,0.12,1.71
2015-01-05,91.38,50.04,2.034,0.12,1.64
2015-01-06,91.5,47.93,1.938,0.12,1.56
2015-01-07,91.89,48.65,1.969,0.12,1.57
2015-01-08,92.37,48.79,2.018,0.12,1.62
2015-01-09,91.94,48.36,1.95,0.12,1.62
2015-01-12,91.98,46.07,1.909,0.12,1.57
2015-01-13,92.31,45.89,1.905,0.12,1.54
2015-01-14,92.16,48.48,1.855,0.12,1.57
2015-01-15,92.35,46.25,1.728,0.12,1.58
2015-01-16,92.52,48.69,1.831,0.13,1.6
2015-01-20,93.05,46.39,1.791,0.12,1.59
2015-01-21,92.9,47.78,1.875,0.12,1.61
2015-01-22,94.08,46.31,1.872,0.12,1.61
2015-01-23,94.76,45.59,1.789,0.12,1.6
2015-01-26,94.8,45.15,1.828,0.12,1.61
2015-01-27,94.02,46.23,1.828,0.11,1.66
2015-01-28,94.47,44.45,1.719,0.12,1.61
2015-01-29,94.78,44.53,1.756,0.11,1.62
2015-01-30,94.8,48.24,1.639,0.06,1.65
2015-02-02,94.5,49.57,1.674,0.12,1.65
2015-02-03,93.6,53.05,1.798,0.12,1.7
2015-02-04,93.99,48.45,1.747,0.11,1.71
2015-02-05,93.57,50.48,1.817,0.12,1.7
2015-02-06,95.85,51.69,1.958,0.11,1.71
2015-02-09,94.45,52.86,1.978,0.12,1.71
2015-02-10,94.76,50.02,2.004,0.12,1.7
2015-02-11,94.98,48.84,2.021,0.12,1.68
2015-02-12,94.09,51.21,1.988,0.12,1.66
2015-02-13,94.2,52.78,2.047,0.12,1.68
2015-02-17,94.06,53.53,2.145,0.12,1.71
2015-02-18,94.2,52.14,2.085,0.12,1.71
2015-02-19,94.4,51.16,2.122,0.12,1.74
2015-02-20,94.34,50.34,2.115,0.12,1.75
2015-02-23,94.57,49.45,2.061,0.11,1.72
2015-02-24,94.49,49.28,1.972,0.11,1.72
2015-02-25,94.21,50.99,1.972,0.11,1.72
2015-02-26,95.29,48.17,2.031,0.11,1.79
2015-02-27,95.32,49.76,1.996,0.06,1.83
2015-03-02,95.46,49.59,2.089,0.12,1.83
2015-03-03,95.38,50.52,2.122,0.12,1.86
2015-03-04,95.97,51.53,2.119,0.11,1.87
2015-03-05,96.38,50.76,2.117,0.11,1.84
