date,gold_price,usd_rate,oil_price,bond_yield_price,interest_rate,inflation_rate,gold_price_after_1_day
2015-01-02,1186.2,91.08,52.69,2.114,0.12,1.71,1204.0
2015-01-05,1204.0,91.38,50.04,2.034,0.12,1.64,1219.4
2015-01-06,1219.4,91.5,47.93,1.938,0.12,1.56,1210.7
2015-01-07,1210.7,91.89,48.65,1.969,0.12,1.57,1208.5
2015-01-08,1208.5,92.37,48.79,2.018,0.12,1.62,1216.1
2015-01-09,1216.1,91.94,48.36,1.95,0.12,1.62,1232.8
2015-01-12,1232.8,91.98,46.07,1.909,0.12,1.57,1234.4
2015-01-13,1234.4,92.31,45.89,1.905,0.12,1.54,1234.5
2015-01-14,1234.5,92.16,48.48,1.855,0.12,1.57,1264.8
2015-01-15,1264.8,92.35,46.25,1.728,0.12,1.58,1276.9
2015-01-16,1276.9,92.52,48.69,1.831,0.13,1.6,1294.2
2015-01-21,1293.7,92.9,47.78,1.875,0.12,1.61,1300.7
2015-01-22,1300.7,94.08,46.31,1.872,0.12,1.61,1292.6
2015-01-23,1292.6,94.76,45.59,1.789,0.12,1.6,1279.4
2015-01-26,1279.4,94.8,45.15,1.828,0.12,1.61,1291.7
2015-01-27,1291.7,94.02,46.23,1.828,0.11,1.66,1285.9
2015-01-28,1285.9,94.47,44.45,1.719,0.12,1.61,1255.9
2015-01-29,1255.9,94.78,44.53,1.756,0.11,1.62,1279.2
2015-01-30,1279.2,94.8,48.24,1.639,0.06,1.65,1276.9
2015-02-02,1276.9,94.5,49.57,1.674,0.12,1.65,1260.3
2015-02-03,1260.3,93.6,53.05,1.798,0.12,1.7,1264.5
2015-02-04,1264.5,93.99,48.45,1.747,0.11,1.71,1262.7
2015-02-05,1262.7,93.57,50.48,1.817,0.12,1.7,1234.6
2015-02-06,1234.6,95.85,51.69,1.958,0.11,1.71,1241.5
2015-02-09,1241.5,94.45,52.86,1.978,0.12,1.71,1232.2
2015-02-10,1232.2,94.76,50.02,2.004,0.12,1.7,1219.6
2015-02-11,1219.6,94.98,48.84,2.021,0.12,1.68,1220.7
2015-02-12,1220.7,94.09,51.21,1.988,0.12,1.66,1227.1
2015-02-13,1227.1,94.2,52.78,2.047,0.12,1.68,1208.6
2015-02-18,1200.2,94.2,52.14,2.085,0.12,1.71,1207.6
2015-02-19,1207.6,94.4,51.16,2.122,0.12,1.74,1204.9
2015-02-20,1204.9,94.34,50.34,2.115,0.12,1.75,1200.8
2015-02-23,1200.8,94.57,49.45,2.061,0.11,1.72,1197.3
2015-02-24,1197.3,94.49,49.28,1.972,0.11,1.72,1201.5
2015-02-25,1201.5,94.21,50.99,1.972,0.11,1.72,1210.1
2015-02-26,1210.1,95.29,48.17,2.031,0.11,1.79,1213.1
2015-02-27,1213.1,95.32,49.76,1.996,0.06,1.83,1208.2
2015-03-02,1208.2,95.46,49.59,2.089,0.12,1.83,1204.4
2015-03-03,1204.4,95.38,50.52,2.122,0.12,1.86,1200.9
2015-03-04,1200.9,95.97,51.53,2.119,0.11,1.87,1196.2
2015-03-05,1196.2,96.38,50.76,2.117,0.11,1.84,1164.3
2015-03-06,1164.3,97.61,49.61,2.247,0.12,1.83,1166.5
2015-03-09,1166.5,97.59,50.0,2.192,0.12,1.76,1160.1
2015-03-10,1160.1,98.62,48.29,2.121,0.12,1.73,1150.6
2015-03-11,1150.6,99.8,48.17,2.109,0.11,1.72,1151.9
