date,sentiment_score,usd_rate,oil_price,bond_yield_price,interest_rate,inflation_rate,gold_price,gold_price_after_1_day
2015-01-02,-0.4019,91.08,52.69,2.114,0.12,1.71,1186.2,1204.0
2015-01-05,0.4404,91.38,50.04,2.034,0.12,1.64,1204.0,1219.4
2015-01-07,-0.5106,91.89,48.65,1.969,0.12,1.57,1210.7,1208.5
2015-01-09,0.0,91.94,48.36,1.95,0.12,1.62,1216.1,1232.8
2015-01-12,0.0,91.98,46.07,1.909,0.12,1.57,1232.8,1234.4
2015-01-16,0.0,92.52,48.69,1.831,0.13,1.6,1276.9,1294.2
2015-01-21,-0.6249,92.9,47.78,1.875,0.12,1.61,1293.7,1300.7
2015-01-23,0.7351,94.76,45.59,1.789,0.12,1.6,1292.6,1279.4
2015-01-27,0.0,94.02,46.23,1.828,0.11,1.66,1291.7,1285.9
2015-01-29,0.3981,94.78,44.53,1.756,0.11,1.62,1255.9,1279.2
2015-01-30,0.5106,94.8,48.24,1.639,0.06,1.65,1279.2,1276.9
2015-02-02,0.3818,94.5,49.57,1.674,0.12,1.65,1276.9,1260.3
2015-02-03,-0.25,93.6,53.05,1.798,0.12,1.7,1260.3,1264.5
2015-02-04,-0.69245,93.99,48.45,1.747,0.11,1.71,1264.5,1262.7
2015-02-05,-0.8402,93.57,50.48,1.817,0.12,1.7,1262.7,1234.6
2015-02-06,-0.25,95.85,51.69,1.958,0.11,1.71,1234.6,1241.5
2015-02-10,0.15595,94.76,50.02,2.004,0.12,1.7,1232.2,1219.6
2015-02-11,-0.2553,94.98,48.84,2.021,0.12,1.68,1219.6,1220.7
2015-02-12,0.0,94.09,51.21,1.988,0.12,1.66,1220.7,1227.1
2015-02-18,0.1366,94.2,52.14,2.085,0.12,1.71,1200.2,1207.6
2015-02-23,0.0,94.57,49.45,2.061,0.11,1.72,1200.8,1197.3
2015-02-27,0.29235,95.32,49.76,1.996,0.06,1.83,1213.1,1208.2
2015-03-02,0.125,95.46,49.59,2.089,0.12,1.83,1208.2,1204.4
2015-03-03,0.2023,95.38,50.52,2.122,0.12,1.86,1204.4,1200.9
2015-03-06,0.0,97.61,49.61,2.247,0.12,1.83,1164.3,1166.5
