date,sentiment_score,gold_price,gold_price_after_1_day
2015-01-02,-0.4019,1186.2,1204.0
2015-01-05,0.4404,1204.0,1219.4
2015-01-07,-0.5106,1210.7,1208.5
2015-01-09,0.0,1216.1,1232.8
2015-01-12,0.0,1232.8,1234.4
2015-01-16,0.0,1276.9,1294.2
2015-01-19,-0.5106,1294.2,1297.45
2015-01-21,-0.6249,1293.7,1300.7
2015-01-23,0.7351,1292.6,1279.4
2015-01-27,0.0,1291.7,1285.9
2015-01-29,0.3981,1255.9,1279.2
2015-01-30,0.5106,1279.2,1276.9
2015-02-02,0.3818,1276.9,1260.3
2015-02-03,-0.25,1260.3,1264.5
2015-02-04,-0.69245,1264.5,1262.7
2015-02-05,-0.8402,1262.7,1234.6
2015-02-06,-0.25,1234.6,1241.5
2015-02-10,0.15595,1232.2,1219.6
2015-02-11,-0.2553,1219.6,1220.7
2015-02-12,0.0,1220.7,1227.1
2015-02-18,0.1366,1200.2,1207.6
2015-02-23,0.0,1200.8,1197.3
2015-02-27,0.29235,1213.1,1208.2
2015-03-02,0.125,1208.2,1204.4
2015-03-03,0.2023,1204.4,1200.9
2015-03-06,0.0,1164.3,1166.5
2015-03-16,0.0,1153.2,1148.2
2015-03-20,0.31245,1184.6,1187.7
2015-03-24,0.46655,1191.4,1197.0
2015-03-25,0.0,1197.0,1204.8
2015-03-26,0.20095,1204.8,1199.8
2015-03-27,0.2023,1199.8,1185.3
2015-03-30,-0.148,1185.3,1183.2
2015-03-31,0.4404,1183.2,1208.2
2015-04-07,-0.07655,1210.6,1203.1
2015-04-13,0.0,1199.3,1192.6
2015-04-16,-0.4549,1198.0,1203.1
2015-04-24,0.0,1175.0,1203.2
2015-04-27,-0.6908,1203.2,1213.9
2015-04-28,0.3818,1213.9,1210.0
2015-04-29,0.1027,1210.0,1182.4
2015-05-04,0.0,1186.8,1193.2
2015-05-05,-0.36605,1193.2,1190.3
2015-05-08,-0.6428,1188.9,1183.0
2015-05-12,-0.765,1192.4,1218.2
2015-05-14,0.0,1225.2,1225.3
2015-05-15,0.0,1225.3,1227.6
2015-05-18,-0.34,1227.6,1206.7
2015-05-21,0.5267,1204.1,1204.0
2015-05-22,0.0,1204.0,1186.9
2015-05-29,0.5267,1189.8,1188.7
2015-06-08,0.1027,1173.6,1177.6
2015-06-09,0.7579,1177.6,1186.6
2015-06-10,0.0,1186.6,1180.4
2015-06-11,0.34,1180.4,1179.2
2015-06-15,0.128,1185.8,1180.9
2015-06-16,0.0516,1180.9,1176.8
2015-06-24,0.0,1172.9,1171.8
2015-07-02,0.0,1163.5,1173.2
2015-07-03,0.0,1173.2,1166.2
2015-07-08,0.0,1163.5,1159.2
2015-07-10,0.0,1157.9,1155.4
2015-07-13,0.0258,1155.4,1153.5
2015-07-14,-0.765,1153.5,1147.4
2015-07-16,-0.296,1143.9,1131.9
2015-07-20,-0.2732,1106.8,1103.5
2015-07-23,-0.27625,1094.1,1085.5
2015-07-28,-0.1531,1096.2,1092.6
